2015-02-18 12:47:02 startup archives install
2015-02-18 12:47:03 install base-files:armhf <none> 7.2ubuntu7
2015-02-18 12:47:03 status half-installed base-files:armhf 7.2ubuntu7
2015-02-18 12:47:04 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:04 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:06 install base-passwd:armhf <none> 3.5.36
2015-02-18 12:47:06 status half-installed base-passwd:armhf 3.5.36
2015-02-18 12:47:06 status unpacked base-passwd:armhf 3.5.36
2015-02-18 12:47:07 status unpacked base-passwd:armhf 3.5.36
2015-02-18 12:47:07 configure base-passwd:armhf 3.5.36 3.5.36
2015-02-18 12:47:07 status unpacked base-passwd:armhf 3.5.36
2015-02-18 12:47:07 status half-configured base-passwd:armhf 3.5.36
2015-02-18 12:47:15 status installed base-passwd:armhf 3.5.36
2015-02-18 12:47:15 configure base-files:armhf 7.2ubuntu7 7.2ubuntu7
2015-02-18 12:47:15 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:15 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:15 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:16 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:16 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:16 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:16 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:16 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:17 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:17 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:17 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:17 status unpacked base-files:armhf 7.2ubuntu7
2015-02-18 12:47:18 status half-configured base-files:armhf 7.2ubuntu7
2015-02-18 12:47:23 status installed base-files:armhf 7.2ubuntu7
2015-02-18 12:47:24 startup archives install
2015-02-18 12:47:25 upgrade dpkg 1.17.13ubuntu1 1.17.13ubuntu1
2015-02-18 12:47:25 status half-configured dpkg 1.17.13ubuntu1
2015-02-18 12:47:25 status unpacked dpkg 1.17.13ubuntu1
2015-02-18 12:47:26 status half-installed dpkg 1.17.13ubuntu1
2015-02-18 12:47:28 status half-installed dpkg 1.17.13ubuntu1
2015-02-18 12:47:29 status unpacked dpkg 1.17.13ubuntu1
2015-02-18 12:47:29 status unpacked dpkg 1.17.13ubuntu1
2015-02-18 12:47:29 configure dpkg 1.17.13ubuntu1 1.17.13ubuntu1
2015-02-18 12:47:29 status unpacked dpkg 1.17.13ubuntu1
2015-02-18 12:47:29 status unpacked dpkg 1.17.13ubuntu1
2015-02-18 12:47:30 status unpacked dpkg 1.17.13ubuntu1
2015-02-18 12:47:30 status unpacked dpkg 1.17.13ubuntu1
2015-02-18 12:47:30 status unpacked dpkg 1.17.13ubuntu1
2015-02-18 12:47:30 status half-configured dpkg 1.17.13ubuntu1
2015-02-18 12:47:31 status installed dpkg 1.17.13ubuntu1
2015-02-18 12:47:32 startup archives install
2015-02-18 12:47:34 install libc6:armhf <none> 2.19-10ubuntu2
2015-02-18 12:47:34 status half-installed libc6:armhf 2.19-10ubuntu2
2015-02-18 12:47:38 status unpacked libc6:armhf 2.19-10ubuntu2
2015-02-18 12:47:39 status unpacked libc6:armhf 2.19-10ubuntu2
2015-02-18 12:47:39 configure libc6:armhf 2.19-10ubuntu2 2.19-10ubuntu2
2015-02-18 12:47:39 status unpacked libc6:armhf 2.19-10ubuntu2
2015-02-18 12:47:39 status unpacked libc6:armhf 2.19-10ubuntu2
2015-02-18 12:47:39 status half-configured libc6:armhf 2.19-10ubuntu2
2015-02-18 12:47:48 status installed libc6:armhf 2.19-10ubuntu2
2015-02-18 12:47:49 startup archives install
2015-02-18 12:47:50 install perl-base:armhf <none> 5.20.1-1
2015-02-18 12:47:50 status half-installed perl-base:armhf 5.20.1-1
2015-02-18 12:47:58 status unpacked perl-base:armhf 5.20.1-1
2015-02-18 12:47:59 status unpacked perl-base:armhf 5.20.1-1
2015-02-18 12:47:59 configure perl-base:armhf 5.20.1-1 5.20.1-1
2015-02-18 12:47:59 status unpacked perl-base:armhf 5.20.1-1
